Spec1_pvalue	Spec1_PVE	Spec1_Beta	Spec1_StdE	Spec1_T-value
LTW_2_36198394	6.36032688750147e-07	0.399492596887326	3.9586679657239	0.701688730054924	5.64162968017747
LTW_2_36337394	6.82140936751916e-09	0.482289573497727	4.27294998174285	0.62443561075403	6.84289926479867
LTW_2_36337692	6.82140936751916e-09	0.482289573497727	4.27294998174285	0.62443561075403	6.84289926479867
LTW_2_36339237	6.82140936751916e-09	0.482289573497727	4.27294998174285	0.62443561075403	6.84289926479867
LTW_2_36345330	3.67854620211011e-08	0.45027524800297	4.10249921598149	0.64152260027792	6.39494105773391
LTW_2_36355364	4.09513728414671e-08	0.448174339112847	4.08267165402188	0.641291070609046	6.36633167236289
LTW_2_36357641	2.8923524786101e-08	0.473289624933097	4.16692245735492	0.641249597098875	6.49812877264455
LTW_2_36361155	6.82140936751916e-09	0.482289573497727	4.27294998174285	0.62443561075403	6.84289926479867
LTW_2_36370674	6.82140936751916e-09	0.482289573497727	4.27294998174285	0.62443561075403	6.84289926479867
LTW_2_36371255	6.82140936751916e-09	0.482289573497727	4.27294998174285	0.62443561075403	6.84289926479867
LTW_2_36447917	1.47593675557755e-08	0.467853274605354	4.38364078896774	0.660386767592574	6.63799004475545
LTW_2_36457059	1.47593675557755e-08	0.467853274605354	4.38364078896774	0.660386767592574	6.63799004475545
LTW_2_36457316	1.47593675557755e-08	0.467853274605354	4.38364078896774	0.660386767592574	6.63799004475545
LTW_4_5424640	1.43773211202598e-05	0.32131650688858	3.10807697696475	0.652722384401908	4.76171348070543
LTW_4_5431934	2.86987392872611e-05	0.304734656884211	3.08930117493155	0.677025612943417	4.5630491902671
LTW_4_5433246	2.86987392872611e-05	0.304734656884211	3.08930117493155	0.677025612943417	4.5630491902671
LTW_4_5434348	2.52435157261247e-05	0.307838459731525	3.06231351295111	0.665698029697271	4.60015408839907
LTW_4_5436267	1.97578866942691e-05	0.313733308052761	3.12084975224095	0.66817318311627	4.67071985392429
LTW_4_5438311	1.97578866942691e-05	0.313733308052761	3.12084975224095	0.66817318311627	4.67071985392429
LTW_4_5439658	1.97578866942691e-05	0.313733308052761	3.12084975224095	0.66817318311627	4.67071985392429
LTW_4_5440519	1.97578866942691e-05	0.313733308052761	3.12084975224095	0.66817318311627	4.67071985392429
LTW_4_5445968	3.68366922981146e-05	0.298660355561417	2.92923045521871	0.652314974968762	4.49051542218388
LTW_4_5457518	4.72434018720267e-05	0.293641934945074	2.95502976912167	0.667846671234425	4.4247128815656
LTW_4_5461010	0.00627818762801049	0.193549398010781	2.12217343699747	0.745012551913493	2.84850695675781
LTW_4_5464507	4.13142083835491e-05	0.295854002781812	2.95668976166503	0.663375918730244	4.45703511113936
LTW_8_79633762	2.03519578193373e-12	0.612905745195792	4.66229281686335	0.517445481233391	9.0102107100254
LTW_8_79646450	1.81582206013833e-11	0.589402970353298	4.6128102473277	0.545425650808027	8.45726679794763
LTW_8_79646532	2.29206625597575e-11	0.577735473070061	4.6055506518058	0.551094100269372	8.35710389487862
LTW_8_79648139	6.29151491200515e-12	0.596885476722996	4.66368033766593	0.535765849238163	8.70469878641479
LTW_8_79695542	4.88099538960651e-11	0.566130026498982	4.52493413347721	0.554875309902512	8.15486660286292
LTW_8_79695631	4.88099538960651e-11	0.566130026498982	4.52493413347721	0.554875309902512	8.15486660286292
LTW_8_79701598	2.03519578193373e-12	0.612905745195792	4.66229281686335	0.517445481233391	9.0102107100254
LTW_8_79713008	3.7335142182359e-11	0.570279864007803	4.54335526534924	0.552283310943327	8.22649385799649
LTW_8_79721287	7.72549741984448e-12	0.593901920183513	4.60703470500921	0.532646047616989	8.6493361316031
